epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1126.33,1.6501,1.38926,1.74306,0.8313,0.61111,0.69879,0.38662,1.61101,1.47231,2.00451,0.0014456,0.0014456,0.0014456
44,1151.94,1.65434,1.4119,1.74886,0.72908,0.52778,0.60845,0.30822,1.67957,1.72735,2.12809,0.0014324,0.0014324,0.0014324
45,1177.23,1.55758,1.32926,1.65347,0.7967,0.65278,0.77448,0.4373,1.53035,1.23767,2.01903,0.0014192,0.0014192,0.0014192
46,1203.13,1.5894,1.35079,1.70997,0.88892,0.55574,0.712,0.38528,1.64445,1.47794,2.09204,0.001406,0.001406,0.001406
47,1228.73,1.59455,1.38397,1.69637,0.78856,0.72523,0.78761,0.39719,1.69009,1.30218,2.16011,0.0013928,0.0013928,0.0013928
48,1255.88,1.58211,1.34625,1.68045,0.80075,0.61111,0.75826,0.40075,1.6481,1.36787,2.11181,0.0013796,0.0013796,0.0013796
49,1281.26,1.60205,1.36143,1.68974,0.62488,0.63889,0.64295,0.34237,1.67047,1.61487,2.05787,0.0013664,0.0013664,0.0013664
50,1306.86,1.57397,1.31132,1.67796,0.77689,0.70833,0.75537,0.43861,1.55654,1.32964,2.01193,0.0013532,0.0013532,0.0013532
51,1332.55,1.55298,1.25304,1.69177,0.73063,0.79167,0.81958,0.41862,1.6261,1.26296,2.07945,0.00134,0.00134,0.00134
52,1357.97,1.52196,1.26689,1.68215,0.8907,0.68056,0.82885,0.44773,1.50016,1.22973,1.96056,0.0013268,0.0013268,0.0013268
53,1384.45,1.5141,1.26094,1.65686,0.57898,0.63889,0.68589,0.34256,1.5909,1.5225,2.07625,0.0013136,0.0013136,0.0013136
54,1409.92,1.50545,1.21355,1.64732,0.84529,0.73611,0.84038,0.48272,1.43086,1.13249,1.95941,0.0013004,0.0013004,0.0013004
55,1435.71,1.51182,1.21596,1.62096,0.46739,0.58333,0.46188,0.24861,1.64554,1.76229,2.01435,0.0012872,0.0012872,0.0012872
56,1461.32,1.50892,1.19584,1.65115,0.87507,0.80556,0.88397,0.47989,1.51485,1.08509,1.99257,0.001274,0.001274,0.001274
57,1487.07,1.47314,1.2125,1.6113,0.79513,0.625,0.74858,0.41057,1.58556,1.24593,2.0416,0.0012608,0.0012608,0.0012608
58,1512.3,1.48371,1.22294,1.63039,0.81444,0.80556,0.84666,0.43975,1.61521,1.20917,2.02337,0.0012476,0.0012476,0.0012476
59,1537.64,1.47501,1.19654,1.60665,0.81193,0.83333,0.86764,0.47546,1.54019,1.1233,2.0199,0.0012344,0.0012344,0.0012344
60,1563.26,1.45061,1.16653,1.62116,0.84475,0.68015,0.78361,0.44513,1.49073,1.23783,1.91849,0.0012212,0.0012212,0.0012212
61,1588.79,1.44909,1.14706,1.57702,0.86986,0.625,0.79548,0.40773,1.67017,1.18531,2.09789,0.001208,0.001208,0.001208
62,1614.18,1.49653,1.21252,1.62781,0.78006,0.54167,0.65806,0.34835,1.66459,1.55255,2.08886,0.0011948,0.0011948,0.0011948
63,1639.83,1.42644,1.12166,1.57001,0.84792,0.76389,0.82215,0.46773,1.50463,1.07382,1.99083,0.0011816,0.0011816,0.0011816
64,1665.49,1.4391,1.15645,1.57656,0.66914,0.76389,0.78191,0.43285,1.51305,1.21183,1.98274,0.0011684,0.0011684,0.0011684
65,1690.82,1.42136,1.13043,1.56292,0.8983,0.625,0.76545,0.41574,1.57775,1.29082,2.01486,0.0011552,0.0011552,0.0011552
66,1716.48,1.45165,1.14938,1.61706,0.85799,0.73611,0.82846,0.49021,1.43688,1.05106,1.92637,0.001142,0.001142,0.001142
67,1742.36,1.41054,1.09585,1.54878,0.75553,0.72974,0.81519,0.44037,1.57082,1.15997,1.99888,0.0011288,0.0011288,0.0011288
68,1768.04,1.38898,1.07961,1.53414,0.71872,0.70979,0.7759,0.45155,1.53297,1.23441,2.01521,0.0011156,0.0011156,0.0011156
69,1793.39,1.39887,1.10099,1.54983,0.85219,0.75,0.85447,0.50099,1.41204,1.03249,1.86712,0.0011024,0.0011024,0.0011024
70,1819.27,1.36417,1.05948,1.54838,0.83795,0.79003,0.86377,0.4895,1.52535,1.09041,2.01304,0.0010892,0.0010892,0.0010892
71,1844.74,1.4033,1.09232,1.55596,0.80988,0.75,0.80848,0.41925,1.54559,1.11478,2.06683,0.001076,0.001076,0.001076
72,1870.13,1.39087,1.08558,1.57675,0.87752,0.66667,0.81416,0.42731,1.59977,1.1755,2.0052,0.0010628,0.0010628,0.0010628
73,1895.37,1.34852,1.03806,1.49548,0.75746,0.73611,0.80523,0.44403,1.60662,1.23079,2.05801,0.0010496,0.0010496,0.0010496
74,1920.85,1.34131,1.0532,1.4979,0.86421,0.79561,0.89162,0.47829,1.44417,1.02248,1.94138,0.0010364,0.0010364,0.0010364
75,1946.17,1.37888,1.04569,1.54379,0.86845,0.73611,0.82893,0.46886,1.46241,1.10324,1.91858,0.0010232,0.0010232,0.0010232
76,1971.59,1.33658,1.02565,1.52805,0.82322,0.80556,0.88283,0.49674,1.42122,1.00897,1.89316,0.00101,0.00101,0.00101
