epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1978,1.89292,2.87698,1.92466,0.00024,0.04167,0.00014,3e-05,3.08166,inf,92.2668,0.000653333,0.000653333,0.000653333
2,131.463,2.05923,2.29613,2.11928,0.00032,0.05556,0.00032,7e-05,4.23933,inf,73.2508,0.00131129,0.00131129,0.00131129
3,194.732,2.08074,2.30641,2.10817,0.01551,0.125,0.00612,0.00209,2.95037,74.653,4.11384,0.00196044,0.00196044,0.00196044
4,266.332,2.09736,2.23111,2.11235,0.01864,0.25,0.01799,0.01045,2.36267,72.7707,3.08334,0.0019604,0.0019604,0.0019604
5,339.897,1.95214,2.00914,1.95175,0.3452,0.15278,0.12251,0.05187,2.50166,6.01978,3.38028,0.0019472,0.0019472,0.0019472
6,407.621,1.90605,1.93934,1.94803,0.54371,0.44444,0.47714,0.23988,1.70715,4.24521,2.21145,0.001934,0.001934,0.001934
7,486.22,1.89758,1.92646,1.95436,0.40316,0.02778,0.01763,0.00965,3.15603,5.64259,3.80034,0.0019208,0.0019208,0.0019208
8,546.97,1.86575,1.82332,1.91716,0.68059,0.59192,0.67963,0.32594,1.70691,2.29023,2.1962,0.0019076,0.0019076,0.0019076
9,615.587,1.84006,1.72912,1.89852,0.59818,0.45833,0.50309,0.22693,1.89682,2.67538,2.36059,0.0018944,0.0018944,0.0018944
10,676.685,1.76075,1.70699,1.82193,0.81166,0.53874,0.695,0.3469,1.66279,1.86729,2.15359,0.0018812,0.0018812,0.0018812
11,752.089,1.72136,1.63754,1.78384,0.69171,0.5,0.57778,0.25943,1.81927,1.83903,2.25513,0.001868,0.001868,0.001868
12,814.142,1.72068,1.58477,1.77272,0.72166,0.5,0.59683,0.28936,1.71619,1.71319,2.10177,0.0018548,0.0018548,0.0018548
13,888.278,1.72342,1.59835,1.78974,0.55875,0.63318,0.61294,0.31249,1.6424,1.96065,2.14871,0.0018416,0.0018416,0.0018416
14,954.15,1.68756,1.48777,1.72143,0.84334,0.52344,0.69093,0.36701,1.61754,1.60083,2.06058,0.0018284,0.0018284,0.0018284
15,1020.17,1.64162,1.49171,1.72862,0.79131,0.63889,0.74406,0.36473,1.69083,1.37565,2.167,0.0018152,0.0018152,0.0018152
16,1100.9,1.60405,1.39063,1.66538,0.70269,0.72218,0.74428,0.37241,1.55238,1.31529,2.04518,0.001802,0.001802,0.001802
17,1172.09,1.59859,1.35674,1.71726,0.80336,0.68056,0.78793,0.41808,1.53432,1.42404,2.04654,0.0017888,0.0017888,0.0017888
18,1244.07,1.63407,1.40207,1.7502,0.84656,0.69444,0.81842,0.41175,1.58514,1.18631,2.05492,0.0017756,0.0017756,0.0017756
19,1315.73,1.59324,1.37517,1.69758,0.80983,0.68056,0.75682,0.41032,1.53438,1.45276,2.06875,0.0017624,0.0017624,0.0017624
20,1385.84,1.54358,1.28837,1.63156,0.66961,0.68056,0.72495,0.39407,1.58082,1.48824,2.11444,0.0017492,0.0017492,0.0017492
21,1447.47,1.57336,1.30264,1.64789,0.83721,0.71435,0.80191,0.44445,1.59122,1.20636,2.06551,0.001736,0.001736,0.001736
22,1515.43,1.52511,1.26814,1.6476,0.74473,0.68056,0.74938,0.38055,1.62072,1.3493,2.09212,0.0017228,0.0017228,0.0017228
23,1585.3,1.51532,1.19454,1.61643,0.73885,0.58333,0.70784,0.37783,1.67574,1.4653,2.08934,0.0017096,0.0017096,0.0017096
24,1650.72,1.53615,1.23534,1.62952,0.88647,0.65073,0.80421,0.41423,1.53847,1.22903,2.07832,0.0016964,0.0016964,0.0016964
25,1714.16,1.5245,1.22811,1.64858,0.84368,0.73611,0.82309,0.44867,1.50863,1.34249,1.97731,0.0016832,0.0016832,0.0016832
26,1791.53,1.45183,1.17821,1.58633,0.73407,0.66667,0.75805,0.42145,1.55566,1.18651,1.98543,0.00167,0.00167,0.00167
27,1865.19,1.48325,1.16982,1.62732,0.80231,0.77778,0.85198,0.47705,1.47469,1.07676,1.97101,0.0016568,0.0016568,0.0016568
28,1931.43,1.47784,1.15424,1.6336,0.75686,0.73499,0.79115,0.46039,1.51614,1.2231,2.02444,0.0016436,0.0016436,0.0016436
29,1994.18,1.48037,1.14543,1.60054,0.64941,0.72037,0.76031,0.41324,1.58715,1.39507,2.05394,0.0016304,0.0016304,0.0016304
30,2065.3,1.40761,1.10229,1.56612,0.76013,0.73611,0.81677,0.44455,1.55245,1.14467,2.03534,0.0016172,0.0016172,0.0016172
31,2140.14,1.34457,1.04072,1.53903,0.8164,0.80556,0.86775,0.48425,1.58133,1.01235,2.05884,0.001604,0.001604,0.001604
32,2214.01,1.38949,1.02047,1.54199,0.81146,0.54167,0.69934,0.39199,1.48113,1.24956,2.04548,0.0015908,0.0015908,0.0015908
33,2278.02,1.38288,1.03555,1.52896,0.80104,0.75,0.83694,0.44464,1.54779,1.13333,2.12463,0.0015776,0.0015776,0.0015776
