epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1265.81,1.36716,1.04765,1.3406,0.77517,0.63889,0.75628,0.39847,1.59586,1.23727,1.72542,0.00167528,0.00167528,0.00167528
43,1295.54,1.40418,1.05411,1.35345,0.73701,0.73956,0.77841,0.46219,1.5419,1.02433,1.66924,0.00166736,0.00166736,0.00166736
44,1325.23,1.37132,1.04832,1.33115,0.91859,0.80556,0.8969,0.51759,1.48204,0.88645,1.55611,0.00165944,0.00165944,0.00165944
45,1355.56,1.34853,0.9935,1.30041,0.80898,0.76389,0.81691,0.46653,1.44659,1.01496,1.58104,0.00165152,0.00165152,0.00165152
46,1385.35,1.34168,0.99638,1.32141,0.77673,0.68056,0.7484,0.43674,1.49797,1.18382,1.57943,0.0016436,0.0016436,0.0016436
47,1415.04,1.32832,1.00601,1.31439,0.83457,0.73611,0.83854,0.50555,1.43089,0.99579,1.58471,0.00163568,0.00163568,0.00163568
48,1444.71,1.34804,1.02385,1.31608,0.76277,0.71458,0.77762,0.4526,1.54071,1.18663,1.63789,0.00162776,0.00162776,0.00162776
49,1474.91,1.37315,1.0363,1.33162,0.87866,0.70408,0.81844,0.47085,1.57196,1.14388,1.62191,0.00161984,0.00161984,0.00161984
50,1504.7,1.32511,0.98896,1.29403,0.84766,0.81944,0.87761,0.51172,1.50285,0.92313,1.61746,0.00161192,0.00161192,0.00161192
51,1534.27,1.33289,0.95111,1.31469,0.78775,0.73611,0.76954,0.44351,1.60351,1.17732,1.68139,0.001604,0.001604,0.001604
52,1564.23,1.28699,0.95704,1.29557,0.8633,0.76389,0.86117,0.48967,1.46376,0.98587,1.59312,0.00159608,0.00159608,0.00159608
53,1594.1,1.32429,0.98061,1.31288,0.84148,0.77778,0.85035,0.5029,1.45133,1.01455,1.56005,0.00158816,0.00158816,0.00158816
54,1623.75,1.30484,0.9486,1.29019,0.82525,0.81944,0.84379,0.48535,1.46631,1.03612,1.50986,0.00158024,0.00158024,0.00158024
55,1653.37,1.30392,0.9149,1.28466,0.75366,0.72222,0.7569,0.45196,1.47199,1.15657,1.63558,0.00157232,0.00157232,0.00157232
56,1683.64,1.28786,0.90555,1.30142,0.86086,0.8593,0.90633,0.51423,1.44487,0.84152,1.57968,0.0015644,0.0015644,0.0015644
57,1713.58,1.24547,0.9109,1.25887,0.87579,0.625,0.78144,0.43143,1.44832,1.11892,1.53079,0.00155648,0.00155648,0.00155648
58,1743.22,1.29627,0.98349,1.28991,0.85338,0.80844,0.89369,0.50477,1.44914,0.87,1.56411,0.00154856,0.00154856,0.00154856
59,1772.88,1.28912,0.91522,1.28067,0.86301,0.80556,0.89705,0.48906,1.4493,0.8897,1.5384,0.00154064,0.00154064,0.00154064
60,1803.57,1.23889,0.89306,1.2648,0.90285,0.64542,0.78176,0.43716,1.52011,1.07349,1.66375,0.00153272,0.00153272,0.00153272
61,1833.52,1.24704,0.88331,1.25711,0.88916,0.73611,0.82772,0.44726,1.56891,1.04785,1.67103,0.0015248,0.0015248,0.0015248
62,1863.76,1.22778,0.91842,1.24991,0.8634,0.7901,0.87797,0.51781,1.45534,0.88938,1.52207,0.00151688,0.00151688,0.00151688
63,1893.74,1.21072,0.87421,1.22724,0.93613,0.75,0.87962,0.50528,1.41625,0.85498,1.54939,0.00150896,0.00150896,0.00150896
64,1924.5,1.24364,0.86133,1.24368,0.9091,0.69448,0.83487,0.44824,1.51636,1.06373,1.6129,0.00150104,0.00150104,0.00150104
65,1954.56,1.23481,0.88091,1.23977,0.87212,0.75781,0.86513,0.47875,1.4625,0.90015,1.58242,0.00149312,0.00149312,0.00149312
66,1984.74,1.24746,0.90622,1.27489,0.94791,0.75827,0.86463,0.49411,1.49769,0.82105,1.61761,0.0014852,0.0014852,0.0014852
67,2014.82,1.22638,0.85507,1.23575,0.86879,0.76389,0.84127,0.49791,1.44748,0.91212,1.55952,0.00147728,0.00147728,0.00147728
68,2045.47,1.19419,0.81469,1.21841,0.80867,0.65278,0.76686,0.47091,1.45766,1.03845,1.58054,0.00146936,0.00146936,0.00146936
69,2075.33,1.20091,0.85107,1.21668,0.80207,0.84722,0.86464,0.48953,1.4245,0.82925,1.56774,0.00146144,0.00146144,0.00146144
70,2105.08,1.18012,0.82682,1.2348,0.91126,0.65278,0.80697,0.4481,1.61904,1.15749,1.73224,0.00145352,0.00145352,0.00145352
71,2134.71,1.21607,0.86992,1.24046,0.89361,0.66667,0.81483,0.43602,1.49887,1.06024,1.58348,0.0014456,0.0014456,0.0014456
72,2165.02,1.20618,0.84908,1.24509,0.91137,0.68056,0.80583,0.46188,1.4734,1.1057,1.58738,0.00143768,0.00143768,0.00143768
73,2194.84,1.17782,0.82704,1.2119,0.85094,0.68056,0.80785,0.44155,1.50905,1.16117,1.65676,0.00142976,0.00142976,0.00142976
74,2224.47,1.1909,0.82425,1.23297,0.79639,0.65278,0.75528,0.41874,1.52933,1.28115,1.66843,0.00142184,0.00142184,0.00142184
75,2253.91,1.17999,0.83666,1.23054,0.88266,0.76389,0.83978,0.48141,1.45052,0.97111,1.59458,0.00141392,0.00141392,0.00141392
76,2283.78,1.18046,0.83396,1.2373,0.85324,0.83333,0.89092,0.50875,1.42354,0.83304,1.58891,0.001406,0.001406,0.001406
77,2313.48,1.15052,0.80685,1.20336,0.8779,0.69907,0.84303,0.48927,1.41413,0.90698,1.53985,0.00139808,0.00139808,0.00139808
78,2342.83,1.16468,0.79503,1.21181,0.83796,0.72222,0.83592,0.4835,1.47913,0.957,1.58515,0.00139016,0.00139016,0.00139016
79,2372.17,1.12277,0.80666,1.18962,0.81139,0.69444,0.8122,0.4498,1.54453,1.03289,1.65916,0.00138224,0.00138224,0.00138224
80,2401.66,1.12884,0.78548,1.16344,0.88223,0.72838,0.87035,0.49443,1.41023,0.93171,1.57326,0.00137432,0.00137432,0.00137432
81,2431.87,1.13632,0.79276,1.20014,0.85424,0.69444,0.80458,0.45822,1.47418,1.11015,1.55131,0.0013664,0.0013664,0.0013664
82,2461.37,1.14265,0.7929,1.20003,0.80799,0.70138,0.72362,0.42304,1.52362,1.21605,1.6361,0.00135848,0.00135848,0.00135848
83,2490.86,1.09155,0.7592,1.17027,0.92057,0.59722,0.76576,0.44009,1.47632,1.20747,1.61168,0.00135056,0.00135056,0.00135056
84,2520.32,1.14714,0.80428,1.20618,0.79446,0.69444,0.78155,0.45738,1.4761,0.99483,1.66675,0.00134264,0.00134264,0.00134264
85,2550.44,1.10616,0.77027,1.18101,0.83162,0.81944,0.86901,0.49165,1.4903,0.90447,1.57222,0.00133472,0.00133472,0.00133472
86,2580.28,1.10659,0.76486,1.18467,0.89779,0.79167,0.88301,0.49874,1.4939,0.81839,1.56723,0.0013268,0.0013268,0.0013268
87,2609.58,1.10791,0.7802,1.18309,0.76883,0.78529,0.85726,0.50946,1.41717,0.92646,1.55991,0.00131888,0.00131888,0.00131888
88,2639.16,1.10896,0.7646,1.17124,0.82171,0.76389,0.82833,0.51433,1.40511,0.93318,1.57765,0.00131096,0.00131096,0.00131096
89,2669.19,1.10722,0.76479,1.16071,0.78623,0.79167,0.84032,0.49031,1.44078,0.90259,1.63038,0.00130304,0.00130304,0.00130304
90,2699.02,1.07366,0.75705,1.16595,0.90495,0.66126,0.78061,0.44312,1.52873,1.16525,1.69781,0.00129512,0.00129512,0.00129512
91,2728.44,1.0726,0.72526,1.16008,0.74542,0.77273,0.81245,0.48118,1.4341,0.94933,1.59953,0.0012872,0.0012872,0.0012872
92,2757.96,1.10083,0.77999,1.16928,0.93364,0.78167,0.89375,0.53818,1.39533,0.85631,1.55157,0.00127928,0.00127928,0.00127928
93,2787.9,1.06741,0.76207,1.15879,0.85018,0.79167,0.88178,0.4969,1.57087,0.90982,1.63215,0.00127136,0.00127136,0.00127136
94,2818.12,1.09704,0.7459,1.15899,0.83334,0.84722,0.88994,0.50854,1.4703,0.87155,1.59229,0.00126344,0.00126344,0.00126344
95,2847.65,1.03942,0.7225,1.14751,0.87379,0.81944,0.88012,0.49186,1.50932,0.87167,1.65778,0.00125552,0.00125552,0.00125552
96,2877.22,1.07411,0.74855,1.14838,0.87092,0.81944,0.88451,0.48203,1.5376,0.87223,1.67375,0.0012476,0.0012476,0.0012476
97,2906.7,1.02888,0.73766,1.14224,0.8862,0.77778,0.86106,0.52647,1.42565,0.81977,1.58124,0.00123968,0.00123968,0.00123968
98,2937.21,1.04073,0.70048,1.13843,0.84154,0.77778,0.88211,0.50258,1.37631,0.89444,1.57191,0.00123176,0.00123176,0.00123176
99,2966.92,1.07409,0.75601,1.16031,0.96663,0.80466,0.88936,0.53493,1.41021,0.80938,1.56573,0.00122384,0.00122384,0.00122384
100,2996.5,1.06626,0.74842,1.15897,0.86697,0.81469,0.88761,0.51386,1.41878,0.85582,1.55623,0.00121592,0.00121592,0.00121592
101,3026.03,1.0251,0.71969,1.14229,0.86095,0.80556,0.88629,0.5112,1.45485,0.80163,1.59121,0.001208,0.001208,0.001208
102,3056.15,1.02437,0.70552,1.13243,0.89517,0.81944,0.86299,0.49874,1.46654,0.83337,1.65283,0.00120008,0.00120008,0.00120008
103,3085.95,1.01747,0.69594,1.12545,0.89349,0.81562,0.87725,0.51233,1.47674,0.81111,1.67097,0.00119216,0.00119216,0.00119216
104,3115.61,0.98473,0.68669,1.12296,0.78994,0.83572,0.8746,0.49468,1.49504,0.97213,1.6043,0.00118424,0.00118424,0.00118424
105,3145.26,1.02468,0.70408,1.13773,0.85623,0.75,0.85212,0.4819,1.4756,0.94098,1.6207,0.00117632,0.00117632,0.00117632
