epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7772,3.74405,6.7768,3.40503,0.00065,0.04167,0.00034,0.00019,nan,nan,nan,0.000653333,0.000653333,0.000653333
2,108.198,4.12045,4.87199,3.73119,0,0,0,0,nan,nan,nan,0.00131129,0.00131129,0.00131129
3,138.549,4.13248,4.66909,3.70591,0.17687,0.02778,0.00782,0.00244,nan,nan,nan,0.00196044,0.00196044,0.00196044
4,168.655,4.12305,4.71417,3.74191,0.0045,0.13889,0.00158,0.00037,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,199.338,4.00286,4.40155,3.55657,0.47667,0.05556,0.04522,0.02055,6.46192,10.0954,6.02049,0.0019472,0.0019472,0.0019472
6,229.942,3.80229,4.09178,3.43815,0.6389,0.19444,0.28408,0.12791,4.10728,14.3661,4.7183,0.001934,0.001934,0.001934
7,260.576,3.86016,3.96814,3.52245,0.38438,0.17355,0.16896,0.06998,4.40999,8.09323,5.26219,0.0019208,0.0019208,0.0019208
8,291.439,3.72291,3.71176,3.37978,0.41228,0.27778,0.27965,0.11556,4.20421,9.06931,5.1613,0.0019076,0.0019076,0.0019076
9,321.875,3.74845,3.85711,3.39959,0.44627,0.20833,0.21021,0.09869,4.67051,9.88842,5.57674,0.0018944,0.0018944,0.0018944
10,355.129,3.6202,3.7163,3.28301,0.67197,0.5,0.60012,0.28529,3.2509,3.73292,3.92677,0.0018812,0.0018812,0.0018812
11,385.87,3.58161,3.39502,3.26543,0.74733,0.45833,0.56467,0.23353,3.57811,5.14117,4.37395,0.001868,0.001868,0.001868
12,417.133,3.56239,3.44466,3.22703,0.52743,0.27778,0.28999,0.13709,4.00723,5.84372,4.53604,0.0018548,0.0018548,0.0018548
13,448.042,3.57864,3.37996,3.28301,0.47539,0.61111,0.45593,0.21014,3.60538,4.83696,4.27254,0.0018416,0.0018416,0.0018416
14,479.212,3.48548,3.22659,3.13159,0.65128,0.52778,0.6528,0.3368,3.35225,3.52324,3.88905,0.0018284,0.0018284,0.0018284
15,510.145,3.42577,3.22186,3.16147,0.62791,0.68056,0.67143,0.3333,3.495,3.29246,4.01297,0.0018152,0.0018152,0.0018152
16,541.544,3.34706,3.05134,3.06409,0.62947,0.51389,0.51969,0.26811,3.36719,3.87976,4.04365,0.001802,0.001802,0.001802
17,572.364,3.36193,3.05122,3.12338,0.65974,0.70833,0.6816,0.33651,3.60094,3.04121,4.2205,0.0017888,0.0017888,0.0017888
18,603.93,3.39204,3.053,3.16058,0.83691,0.55556,0.72282,0.40172,3.0003,2.51784,3.71718,0.0017756,0.0017756,0.0017756
19,635.284,3.34403,3.0669,3.11394,0.81896,0.56944,0.72022,0.39187,3.16061,2.41103,3.84457,0.0017624,0.0017624,0.0017624
20,666.293,3.31792,2.87635,3.02937,0.66203,0.57137,0.64221,0.31168,3.34095,2.6843,4.03367,0.0017492,0.0017492,0.0017492
21,697.457,3.26798,2.79396,2.99245,0.66618,0.68056,0.73113,0.37526,3.20953,2.98366,3.96928,0.001736,0.001736,0.001736
22,728.195,3.25355,2.72843,3.03693,0.84137,0.69444,0.7855,0.42049,3.14195,2.10661,3.90147,0.0017228,0.0017228,0.0017228
23,759.448,3.23352,2.64082,3.00434,0.70103,0.73611,0.74865,0.39666,3.13178,2.61993,3.80942,0.0017096,0.0017096,0.0017096
24,790.2,3.26341,2.74645,3.03072,0.6859,0.68056,0.75024,0.41497,2.97196,2.25331,3.67799,0.0016964,0.0016964,0.0016964
25,821.143,3.22991,2.71843,3.04291,0.70783,0.60571,0.67739,0.37494,3.24723,2.94461,3.93571,0.0016832,0.0016832,0.0016832
26,851.91,3.07621,2.55376,2.94511,0.90691,0.56944,0.76322,0.41803,3.21406,2.2309,3.8978,0.00167,0.00167,0.00167
27,883.055,3.10852,2.55247,2.94633,0.71828,0.60205,0.70515,0.37918,3.02767,2.53096,3.68247,0.0016568,0.0016568,0.0016568
28,913.696,3.12601,2.50739,3.01456,0.67968,0.58946,0.66089,0.35236,3.27943,2.74199,3.90635,0.0016436,0.0016436,0.0016436
29,944.666,3.13019,2.60641,2.98423,0.61018,0.625,0.66117,0.36729,3.23309,2.6238,3.91505,0.0016304,0.0016304,0.0016304
30,975.623,3.08004,2.46608,2.89807,0.72909,0.68056,0.73466,0.41426,3.02475,2.25326,3.82022,0.0016172,0.0016172,0.0016172
31,1006.58,2.95155,2.39852,2.89091,0.71019,0.68072,0.77123,0.44862,3.034,2.07643,3.66286,0.001604,0.001604,0.001604
32,1037.81,2.99455,2.38222,2.87547,0.70917,0.63889,0.71761,0.39508,3.06319,2.34318,3.79235,0.0015908,0.0015908,0.0015908
33,1068.54,3.00396,2.316,2.87621,0.75967,0.73611,0.79232,0.43416,3.05593,2.00769,3.80205,0.0015776,0.0015776,0.0015776
34,1099.47,3.01653,2.34341,2.91764,0.85158,0.72222,0.80727,0.44358,3.17386,2.07882,3.83591,0.0015644,0.0015644,0.0015644
35,1130.12,2.92833,2.26006,2.82546,0.90995,0.70184,0.84202,0.48277,3.01445,1.81159,3.84229,0.0015512,0.0015512,0.0015512
36,1161.27,2.94414,2.28402,2.83183,0.81653,0.7418,0.80689,0.4271,3.02774,2.42567,3.66767,0.001538,0.001538,0.001538
37,1191.98,2.90429,2.25168,2.79739,0.69066,0.72222,0.764,0.43002,2.9596,2.33131,3.74781,0.0015248,0.0015248,0.0015248
38,1223.33,2.87974,2.21612,2.81521,0.71125,0.65278,0.70966,0.38799,3.15172,2.37319,3.82874,0.0015116,0.0015116,0.0015116
39,1254.2,2.842,2.15175,2.81218,0.80237,0.81944,0.86288,0.50623,2.89277,1.79791,3.70775,0.0014984,0.0014984,0.0014984
40,1285.56,2.88011,2.24737,2.79089,0.65132,0.69444,0.68228,0.38497,3.00362,2.34911,3.67428,0.0014852,0.0014852,0.0014852
