epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4843,3.81135,4.29969,4.14142,0.00198,0.34722,0.00137,0.00047,3.28141,3.58397,4.12593,0.000653333,0.000653333,0.000653333
2,75.7663,3.20631,3.74889,3.63985,0.00012,0.01389,6.00E-05,1.00E-05,nan,nan,nan,0.00131129,0.00131129,0.00131129
3,114.799,2.99044,3.44489,3.2143,0.00108,0.09722,0.00073,0.00029,nan,nan,nan,0.00196044,0.00196044,0.00196044
4,151.552,2.88261,3.2944,3.03079,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,185.848,2.80494,3.17385,2.91175,0.00087,0.15278,0.00056,0.00019,nan,nan,nan,0.0019472,0.0019472,0.0019472
6,219.508,2.6957,3.0782,2.83085,0.03255,0.09722,0.00899,0.00272,3.21374,6.36414,4.06149,0.001934,0.001934,0.001934
7,259.499,2.66149,3.12034,2.79767,0.11022,0.13889,0.06187,0.01523,2.79735,5.37563,3.26598,0.0019208,0.0019208,0.0019208
8,298.485,2.61055,2.99653,2.72514,0.09559,0.05556,0.01537,0.00347,2.70743,5.88136,3.15541,0.0019076,0.0019076,0.0019076
9,331.877,2.55334,2.88081,2.69009,0.23571,0.22222,0.1516,0.03517,2.65183,4.62832,3.05143,0.0018944,0.0018944,0.0018944
10,375.212,2.55547,2.8874,2.65547,0.23482,0.13889,0.1313,0.04108,2.52817,3.4537,2.95685,0.0018812,0.0018812,0.0018812
11,417.686,2.5541,2.81256,2.63782,0.1414,0.08333,0.06576,0.0144,2.7542,3.94267,3.13392,0.001868,0.001868,0.001868
12,458.242,2.4757,2.76509,2.52244,0.30711,0.20833,0.19267,0.06507,2.26143,3.7479,2.63554,0.0018548,0.0018548,0.0018548
13,498.013,2.39264,2.66026,2.48634,0.47594,0.16667,0.14758,0.06013,2.45418,3.59368,2.8865,0.0018416,0.0018416,0.0018416
14,531.765,2.33754,2.55111,2.40939,0.49884,0.16667,0.18051,0.04515,2.45047,3.12234,2.82997,0.0018284,0.0018284,0.0018284
15,566.278,2.34902,2.67695,2.43423,0.25343,0.22222,0.14083,0.05398,2.20337,2.90544,2.71272,0.0018152,0.0018152,0.0018152
16,603.988,2.33228,2.56344,2.3833,0.26143,0.15278,0.12679,0.05553,2.32086,3.13598,2.7435,0.001802,0.001802,0.001802
17,643.432,2.30555,2.53358,2.37369,0.34162,0.38889,0.33668,0.12243,2.24851,3.01409,2.74789,0.0017888,0.0017888,0.0017888
18,682.11,2.29729,2.58778,2.41778,0.41602,0.375,0.36406,0.13506,2.11125,2.47154,2.55135,0.0017756,0.0017756,0.0017756
19,717.279,2.22405,2.48464,2.32592,0.48765,0.38342,0.3733,0.15803,2.10472,2.60681,2.55949,0.0017624,0.0017624,0.0017624
20,755.033,2.28,2.47165,2.32363,0.24524,0.19444,0.14503,0.04997,2.30457,2.99125,2.74623,0.0017492,0.0017492,0.0017492
21,798.856,2.26334,2.41039,2.3144,0.58966,0.34722,0.38043,0.16703,2.00768,2.956,2.48138,0.001736,0.001736,0.001736
22,842.533,2.20985,2.31251,2.28299,0.50935,0.34722,0.36422,0.17631,1.96732,2.36393,2.39947,0.0017228,0.0017228,0.0017228
