epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4658,1.85139,2.63513,1.66081,0.06666,0.38889,0.041,0.01692,2.17914,118.012,10.9049,0.000653333,0.000653333,0.000653333
2,69.1667,2.08091,2.11578,1.85312,0.00106,0.01389,0.00014,2e-05,4.67226,inf,9.56086,0.00131129,0.00131129,0.00131129
3,99.168,2.0922,2.1654,1.84703,0.07143,0.08333,0.02519,0.00747,3.04895,41.6803,4.51111,0.00196044,0.00196044,0.00196044
4,128.61,2.04754,2.11313,1.82768,0,0,0,0,4.91036,6.99107,7.81619,0.0019604,0.0019604,0.0019604
5,158.716,1.97689,2.02455,1.77871,0.21148,0.08333,0.06412,0.02749,3.15211,4.95888,3.25124,0.0019472,0.0019472,0.0019472
6,188.887,1.9148,1.85389,1.72212,0.15557,0.375,0.09849,0.03883,2.29546,3.33461,2.46406,0.001934,0.001934,0.001934
7,218.492,1.93044,1.92306,1.74617,0.3849,0.3216,0.25204,0.10101,2.33846,5.51972,2.53772,0.0019208,0.0019208,0.0019208
8,248.441,1.86782,1.79037,1.70979,0.05673,0.06944,0.0146,0.00799,2.80847,5.02986,2.84076,0.0019076,0.0019076,0.0019076
9,278.086,1.83977,1.8026,1.65394,0.72497,0.40273,0.50596,0.24884,1.76884,2.36902,1.86914,0.0018944,0.0018944,0.0018944
10,309.841,1.76899,1.71289,1.61102,0.76529,0.65278,0.70288,0.38613,1.66941,1.64293,1.69799,0.0018812,0.0018812,0.0018812
11,339.876,1.7454,1.63528,1.60796,0.7917,0.45833,0.59804,0.28948,1.83919,2.15593,1.97049,0.001868,0.001868,0.001868
12,369.317,1.75678,1.63387,1.60376,0.54923,0.41667,0.42256,0.20574,1.79647,2.09001,1.82789,0.0018548,0.0018548,0.0018548
13,398.956,1.75313,1.59816,1.59627,0.51483,0.36111,0.40288,0.18291,1.70666,2.81219,1.81885,0.0018416,0.0018416,0.0018416
14,428.946,1.66817,1.5034,1.51222,0.76254,0.62441,0.69178,0.35211,1.63385,1.91932,1.67234,0.0018284,0.0018284,0.0018284
15,458.155,1.66188,1.54276,1.53412,0.50852,0.41675,0.44869,0.22113,1.88686,2.16122,1.86391,0.0018152,0.0018152,0.0018152
16,487.533,1.64503,1.46883,1.5165,0.4908,0.49535,0.46694,0.23344,1.72935,2.00106,1.77385,0.001802,0.001802,0.001802
17,517.507,1.63297,1.43562,1.51,0.65967,0.73611,0.75018,0.4002,1.5501,1.60619,1.56625,0.0017888,0.0017888,0.0017888
18,547.387,1.62541,1.47361,1.51927,0.70939,0.79167,0.8251,0.47265,1.4646,1.36134,1.56926,0.0017756,0.0017756,0.0017756
19,577.08,1.6477,1.46812,1.52387,0.70643,0.54167,0.58264,0.28786,1.78852,1.79267,1.8601,0.0017624,0.0017624,0.0017624
20,606.869,1.59036,1.39473,1.46509,0.66899,0.58953,0.63657,0.33985,1.58168,1.47462,1.76776,0.0017492,0.0017492,0.0017492
21,636.552,1.60054,1.35718,1.47754,0.80589,0.56944,0.63224,0.35568,1.61405,1.59811,1.6929,0.001736,0.001736,0.001736
22,666.031,1.57111,1.34163,1.4864,0.76421,0.72222,0.75444,0.3988,1.61053,1.34153,1.69914,0.0017228,0.0017228,0.0017228
23,696.071,1.54194,1.30371,1.45155,0.86644,0.63079,0.78682,0.44389,1.55287,1.34672,1.66436,0.0017096,0.0017096,0.0017096
24,725.878,1.55714,1.3201,1.45658,0.8156,0.77778,0.78742,0.45501,1.55506,1.12977,1.69633,0.0016964,0.0016964,0.0016964
25,755.342,1.58147,1.31573,1.46288,0.81567,0.73611,0.83038,0.46322,1.5026,1.11017,1.63502,0.0016832,0.0016832,0.0016832
26,785.394,1.50195,1.25461,1.43397,0.8357,0.54167,0.71985,0.3836,1.64343,1.4201,1.71737,0.00167,0.00167,0.00167
27,814.988,1.53427,1.29276,1.45373,0.84262,0.55556,0.70667,0.39216,1.54295,1.33624,1.65051,0.0016568,0.0016568,0.0016568
28,844.457,1.52745,1.26529,1.46617,0.71242,0.72254,0.7881,0.4594,1.49355,1.74768,1.61034,0.0016436,0.0016436,0.0016436
29,874.057,1.51932,1.24637,1.44159,0.7144,0.81944,0.79441,0.44094,1.5386,1.20661,1.63707,0.0016304,0.0016304,0.0016304
30,903.88,1.48786,1.18852,1.41536,0.82554,0.72295,0.83249,0.49196,1.43582,1.07203,1.56377,0.0016172,0.0016172,0.0016172
31,933.592,1.41037,1.17207,1.37617,0.82602,0.65947,0.79397,0.45876,1.47452,1.11043,1.64563,0.001604,0.001604,0.001604
32,963.064,1.43335,1.1544,1.38293,0.82573,0.65813,0.73294,0.39608,1.55746,1.16992,1.72717,0.0015908,0.0015908,0.0015908
33,992.869,1.41916,1.12299,1.38374,0.85743,0.66667,0.79891,0.43604,1.57187,1.12873,1.68806,0.0015776,0.0015776,0.0015776
34,1022.54,1.445,1.13391,1.40437,0.92467,0.75,0.85171,0.49819,1.45118,0.99554,1.58679,0.0015644,0.0015644,0.0015644
35,1052.25,1.40146,1.10764,1.36923,0.88549,0.73611,0.80834,0.45568,1.51351,1.15602,1.6613,0.0015512,0.0015512,0.0015512
36,1082,1.43433,1.14105,1.38613,0.78547,0.68056,0.76751,0.44504,1.64286,1.22163,1.6722,0.001538,0.001538,0.001538
37,1111.47,1.39999,1.10658,1.34995,0.79971,0.80556,0.85532,0.48206,1.4194,0.93584,1.57659,0.0015248,0.0015248,0.0015248
38,1141.02,1.37571,1.08057,1.36067,0.76679,0.65278,0.68658,0.39407,1.4879,1.3871,1.59511,0.0015116,0.0015116,0.0015116
39,1170.66,1.39711,1.07469,1.3723,0.82369,0.73611,0.77944,0.46021,1.41473,0.99176,1.5781,0.0014984,0.0014984,0.0014984
40,1200.11,1.38933,1.10237,1.35176,0.71112,0.71803,0.77162,0.43186,1.55173,1.07257,1.65177,0.0014852,0.0014852,0.0014852
41,1229.53,1.37419,1.06547,1.33848,0.83689,0.71268,0.80919,0.46777,1.45556,1.12354,1.57019,0.001472,0.001472,0.001472
42,1259.56,1.34566,1.04026,1.34298,0.72746,0.68056,0.73085,0.38653,1.54515,1.35118,1.61133,0.0014588,0.0014588,0.0014588
43,1288.9,1.38803,1.03933,1.35445,0.80899,0.69444,0.80548,0.47254,1.48823,1.09342,1.57946,0.0014456,0.0014456,0.0014456
44,1318.37,1.36069,1.02897,1.333,0.83815,0.75,0.83628,0.50891,1.44873,0.92144,1.59459,0.0014324,0.0014324,0.0014324
45,1348.44,1.30491,0.97414,1.29621,0.81179,0.68056,0.77669,0.46074,1.42019,1.13375,1.59425,0.0014192,0.0014192,0.0014192
46,1378,1.32993,1.00418,1.32603,0.81785,0.81076,0.87141,0.49088,1.51267,0.94396,1.64384,0.001406,0.001406,0.001406
47,1407.51,1.31627,1.01321,1.31828,0.83825,0.72222,0.82536,0.43875,1.47063,1.07238,1.60974,0.0013928,0.0013928,0.0013928
48,1438.74,1.31875,1.00246,1.32131,0.77072,0.76389,0.80545,0.48194,1.52427,1.03016,1.66366,0.0013796,0.0013796,0.0013796
49,1468.08,1.35737,1.02422,1.33463,0.9235,0.69444,0.834,0.49315,1.45104,1.06921,1.6064,0.0013664,0.0013664,0.0013664
50,1497.6,1.31993,0.96578,1.31928,0.92312,0.80556,0.90094,0.51973,1.41849,0.82105,1.62711,0.0013532,0.0013532,0.0013532
51,1527.75,1.2908,0.93063,1.31464,0.82488,0.65278,0.77135,0.43524,1.49142,1.13265,1.6683,0.00134,0.00134,0.00134
52,1557.14,1.25234,0.91991,1.28399,0.76393,0.76406,0.82893,0.47577,1.38681,0.94922,1.56993,0.0013268,0.0013268,0.0013268
53,1586.51,1.28724,0.94184,1.30788,0.73072,0.73611,0.80072,0.45871,1.42471,1.0023,1.61076,0.0013136,0.0013136,0.0013136
54,1616.32,1.27132,0.93187,1.28867,0.87189,0.81944,0.91948,0.5552,1.3888,0.763,1.58016,0.0013004,0.0013004,0.0013004
55,1646.16,1.26563,0.90404,1.27402,0.90055,0.61111,0.7624,0.46483,1.44067,1.1488,1.58551,0.0012872,0.0012872,0.0012872
56,1675.68,1.25742,0.89252,1.29814,0.88762,0.75,0.86637,0.51044,1.47277,0.89576,1.65908,0.001274,0.001274,0.001274
57,1705.56,1.21317,0.89992,1.2566,0.79098,0.78841,0.83873,0.50015,1.39165,1.05737,1.58836,0.0012608,0.0012608,0.0012608
58,1735.25,1.22693,0.93862,1.27458,0.84188,0.84722,0.9032,0.50285,1.47662,0.8746,1.60384,0.0012476,0.0012476,0.0012476
59,1764.66,1.25163,0.87952,1.27718,0.85948,0.68056,0.84595,0.4832,1.43739,0.90984,1.56638,0.0012344,0.0012344,0.0012344
60,1794.55,1.20407,0.86721,1.26422,0.80353,0.79167,0.86734,0.50265,1.4189,0.90242,1.58325,0.0012212,0.0012212,0.0012212
61,1824.19,1.23093,0.8574,1.26155,0.80181,0.69444,0.7881,0.47808,1.45787,1.0168,1.6121,0.001208,0.001208,0.001208
62,1853.64,1.22501,0.89331,1.25803,0.8478,0.77371,0.87584,0.51433,1.41054,0.8652,1.61116,0.0011948,0.0011948,0.0011948
63,1882.98,1.22483,0.85589,1.24804,0.8526,0.8034,0.88835,0.50538,1.4207,0.87384,1.62466,0.0011816,0.0011816,0.0011816
64,1912.88,1.19246,0.86064,1.22656,0.86791,0.73611,0.85809,0.51248,1.37142,0.94353,1.57141,0.0011684,0.0011684,0.0011684
65,1942.29,1.19901,0.8657,1.23636,0.85655,0.74643,0.8302,0.48335,1.39525,0.96232,1.51082,0.0011552,0.0011552,0.0011552
66,1971.77,1.20404,0.86443,1.26125,0.78623,0.86846,0.89788,0.54485,1.34616,0.82038,1.55458,0.001142,0.001142,0.001142
67,2001.68,1.18525,0.82954,1.22684,0.92222,0.83333,0.91913,0.54706,1.44171,0.79447,1.57991,0.0011288,0.0011288,0.0011288
68,2031.15,1.14687,0.80081,1.20293,0.79837,0.77778,0.82363,0.49057,1.43864,0.96752,1.59755,0.0011156,0.0011156,0.0011156
69,2060.64,1.14894,0.82388,1.20198,0.84805,0.79167,0.91036,0.56748,1.34136,0.72759,1.50864,0.0011024,0.0011024,0.0011024
70,2090.48,1.1383,0.78704,1.22242,0.89943,0.625,0.77621,0.45883,1.46575,1.10934,1.62639,0.0010892,0.0010892,0.0010892
71,2119.94,1.17076,0.83033,1.22922,0.75537,0.77201,0.83617,0.49458,1.47998,0.95193,1.64108,0.001076,0.001076,0.001076
72,2149.28,1.13784,0.79534,1.22157,0.84296,0.75,0.81081,0.49836,1.30787,0.94601,1.49841,0.0010628,0.0010628,0.0010628
73,2178.94,1.12086,0.78546,1.19213,0.856,0.74312,0.85336,0.49771,1.44046,0.93903,1.63234,0.0010496,0.0010496,0.0010496
74,2208.51,1.12284,0.78176,1.20044,0.80864,0.77778,0.83527,0.50598,1.38904,0.91639,1.58575,0.0010364,0.0010364,0.0010364
75,2237.92,1.13504,0.79035,1.20975,0.7842,0.70833,0.81431,0.50311,1.39841,1.17515,1.53058,0.0010232,0.0010232,0.0010232
