epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9065,1.80528,2.60214,1.63611,0.001,0.16667,0.00062,0.0002,3.71958,inf,24.4959,0.000653333,0.000653333,0.000653333
2,62.3909,1.94848,2.04167,1.80002,0.00656,0.08333,0.00233,0.00166,3.98902,173.657,13.4193,0.00131129,0.00131129,0.00131129
3,90.3266,1.97848,2.01753,1.84714,0.00048,0.08333,0.0003,5e-05,4.42085,inf,21.0476,0.00196044,0.00196044,0.00196044
4,118.721,1.93277,1.96559,1.80247,0.22463,0.11111,0.07595,0.02994,2.67595,5.18036,2.81762,0.0019604,0.0019604,0.0019604
5,146.619,1.84617,1.84042,1.72868,0.4288,0.26389,0.25436,0.12103,1.9667,4.33785,2.36267,0.0019472,0.0019472,0.0019472
6,174.54,1.79722,1.72733,1.67705,0.71298,0.61111,0.68424,0.33005,1.68328,2.38168,1.91664,0.001934,0.001934,0.001934
7,208.484,1.82848,1.7436,1.73046,0.51961,0.23611,0.2592,0.10983,2.11048,2.51623,2.35927,0.0019208,0.0019208,0.0019208
8,235.972,1.79327,1.62232,1.68527,0.67663,0.41667,0.49856,0.21718,1.81973,2.10343,2.09535,0.0019076,0.0019076,0.0019076
9,263.226,1.78821,1.65476,1.67211,0.55624,0.36111,0.40126,0.18872,1.82954,2.86877,2.08788,0.0018944,0.0018944,0.0018944
10,290.792,1.69103,1.54556,1.61975,0.72665,0.52778,0.64725,0.33735,1.62015,1.59252,1.81307,0.0018812,0.0018812,0.0018812
11,318.64,1.6494,1.48911,1.59938,0.68548,0.68056,0.71208,0.3578,1.74398,1.74607,1.96269,0.001868,0.001868,0.001868
12,346.759,1.6726,1.44084,1.59022,0.75236,0.633,0.70844,0.35291,1.66591,1.47481,1.82344,0.0018548,0.0018548,0.0018548
13,374.395,1.64234,1.41128,1.5586,0.65606,0.625,0.68318,0.35095,1.49979,1.71652,1.72055,0.0018416,0.0018416,0.0018416
14,401.952,1.57729,1.35488,1.50945,0.6286,0.66667,0.66599,0.3848,1.49353,1.39817,1.67887,0.0018284,0.0018284,0.0018284
15,429.678,1.57988,1.3922,1.54176,0.73078,0.52778,0.6266,0.31043,1.74332,1.69134,1.92957,0.0018152,0.0018152,0.0018152
16,457.126,1.51414,1.29355,1.46623,0.94224,0.65278,0.85265,0.48969,1.42289,1.07328,1.6426,0.001802,0.001802,0.001802
17,484.997,1.54055,1.28715,1.49157,0.6005,0.66809,0.65835,0.34304,1.71261,1.43021,1.89851,0.0017888,0.0017888,0.0017888
18,512.965,1.55306,1.30919,1.51489,0.71841,0.70833,0.77933,0.42605,1.6152,1.33457,1.82513,0.0017756,0.0017756,0.0017756
19,540.263,1.54875,1.27941,1.51041,0.81295,0.54331,0.70629,0.39846,1.64291,1.41208,1.84076,0.0017624,0.0017624,0.0017624
20,567.623,1.5105,1.23613,1.45334,0.78675,0.71741,0.77428,0.44754,1.55563,1.16116,1.75669,0.0017492,0.0017492,0.0017492
21,595.19,1.48411,1.2072,1.43633,0.69925,0.68056,0.75561,0.41994,1.52703,1.56969,1.71403,0.001736,0.001736,0.001736
22,622.489,1.47493,1.17729,1.45821,0.78885,0.55556,0.64967,0.35,1.73414,1.42213,1.85901,0.0017228,0.0017228,0.0017228
23,649.753,1.43753,1.11879,1.42677,0.76126,0.84148,0.82615,0.47778,1.55647,1.08622,1.7063,0.0017096,0.0017096,0.0017096
24,677.425,1.47829,1.15601,1.44783,0.80178,0.81944,0.87246,0.52689,1.4234,0.95699,1.6618,0.0016964,0.0016964,0.0016964
25,705.636,1.50207,1.16916,1.47019,0.80685,0.69627,0.79215,0.45052,1.54601,1.31683,1.75842,0.0016832,0.0016832,0.0016832
26,733.111,1.41312,1.10953,1.41774,0.74082,0.75,0.81372,0.45739,1.44333,1.22593,1.65687,0.00167,0.00167,0.00167
27,760.53,1.43401,1.13963,1.42996,0.80025,0.76389,0.8529,0.52488,1.41269,1.087,1.63913,0.0016568,0.0016568,0.0016568
28,787.909,1.4344,1.10806,1.45082,0.73236,0.77778,0.81399,0.483,1.51445,1.04751,1.74271,0.0016436,0.0016436,0.0016436
29,815.425,1.42285,1.12239,1.41169,0.8864,0.84722,0.90853,0.54082,1.40004,0.93391,1.55009,0.0016304,0.0016304,0.0016304
30,844.193,1.36199,1.03734,1.37834,0.88075,0.71813,0.83276,0.5094,1.43579,1.07141,1.62851,0.0016172,0.0016172,0.0016172
31,871.966,1.2943,0.99343,1.34935,0.86299,0.59722,0.70263,0.42447,1.50998,1.3182,1.76335,0.001604,0.001604,0.001604
32,899.536,1.31792,0.99501,1.35198,0.8488,0.73611,0.84978,0.48069,1.5192,1.01108,1.75016,0.0015908,0.0015908,0.0015908
33,927.024,1.33154,0.97091,1.36186,0.77363,0.81944,0.84952,0.48779,1.54844,1.06579,1.79273,0.0015776,0.0015776,0.0015776
34,954.624,1.35607,1.00375,1.387,0.7082,0.76389,0.80912,0.469,1.52134,1.05053,1.78736,0.0015644,0.0015644,0.0015644
35,982.109,1.29144,0.97314,1.33393,0.7614,0.68056,0.74549,0.42344,1.5639,1.13583,1.78181,0.0015512,0.0015512,0.0015512
36,1009.89,1.32589,0.98944,1.348,0.85079,0.72222,0.82632,0.49114,1.45524,1.02593,1.66799,0.001538,0.001538,0.001538
37,1037.83,1.2888,0.9478,1.31759,0.712,0.72108,0.74022,0.43382,1.39827,1.11442,1.74437,0.0015248,0.0015248,0.0015248
38,1065.29,1.27475,0.93971,1.32999,0.84858,0.75,0.8513,0.47915,1.55358,0.97175,1.7529,0.0015116,0.0015116,0.0015116
39,1092.72,1.26697,0.92332,1.33091,0.83058,0.68093,0.82669,0.49126,1.52425,1.04254,1.74362,0.0014984,0.0014984,0.0014984
40,1120.2,1.25764,0.93448,1.31512,0.81779,0.74803,0.80876,0.46139,1.42986,1.14559,1.64885,0.0014852,0.0014852,0.0014852
41,1147.67,1.2735,0.91063,1.31065,0.85153,0.77778,0.85147,0.50186,1.39676,0.95012,1.65516,0.001472,0.001472,0.001472
42,1175.17,1.22647,0.86729,1.30512,0.74585,0.73611,0.78375,0.47132,1.41058,1.17494,1.65865,0.0014588,0.0014588,0.0014588
43,1203.14,1.28394,0.90347,1.33728,0.86583,0.68056,0.8047,0.4978,1.40854,1.00749,1.65623,0.0014456,0.0014456,0.0014456
44,1230.72,1.23508,0.88065,1.29775,0.74105,0.75,0.80597,0.49646,1.43104,1.00507,1.66782,0.0014324,0.0014324,0.0014324
45,1258.11,1.18735,0.82231,1.2557,0.74177,0.69444,0.77768,0.4629,1.43734,1.09328,1.68873,0.0014192,0.0014192,0.0014192
46,1285.57,1.20149,0.84017,1.28339,0.86885,0.61111,0.74609,0.43406,1.42561,1.30345,1.60563,0.001406,0.001406,0.001406
47,1313.1,1.18036,0.85552,1.27123,0.88748,0.76683,0.90843,0.52097,1.44188,0.78368,1.75147,0.0013928,0.0013928,0.0013928
48,1341.72,1.1978,0.8408,1.27394,0.7348,0.86111,0.85386,0.51372,1.39032,1.00888,1.60322,0.0013796,0.0013796,0.0013796
49,1369.54,1.21671,0.8623,1.27852,0.9065,0.65278,0.8489,0.51147,1.38044,1.02484,1.63582,0.0013664,0.0013664,0.0013664
50,1397.14,1.17238,0.81251,1.25116,0.87301,0.84722,0.9105,0.55237,1.36215,0.84918,1.61333,0.0013532,0.0013532,0.0013532
51,1424.92,1.15279,0.78192,1.256,0.84994,0.68056,0.7801,0.43887,1.51984,1.22851,1.68848,0.00134,0.00134,0.00134
52,1452.42,1.12537,0.78807,1.23958,0.82468,0.69444,0.80293,0.49855,1.44299,1.05181,1.69142,0.0013268,0.0013268,0.0013268
53,1479.95,1.12851,0.77938,1.23859,0.87308,0.70833,0.84634,0.51155,1.4173,0.92861,1.61362,0.0013136,0.0013136,0.0013136
54,1507.54,1.13558,0.77455,1.24331,0.84271,0.65278,0.79897,0.47056,1.45023,1.18842,1.69482,0.0013004,0.0013004,0.0013004
55,1535.64,1.10451,0.7627,1.20802,0.77109,0.74859,0.80181,0.5005,1.45542,0.9935,1.66025,0.0012872,0.0012872,0.0012872
56,1563.43,1.11381,0.7501,1.23177,0.77767,0.86111,0.87537,0.51216,1.4274,0.90604,1.71764,0.001274,0.001274,0.001274
57,1590.92,1.07023,0.75035,1.205,0.83563,0.77671,0.85533,0.51159,1.40659,0.97033,1.72305,0.0012608,0.0012608,0.0012608
58,1618.53,1.11883,0.79616,1.25046,0.88523,0.74986,0.86665,0.54008,1.37133,0.91535,1.61455,0.0012476,0.0012476,0.0012476
59,1646.13,1.0855,0.73586,1.21141,0.83727,0.78611,0.85339,0.53312,1.37227,0.96002,1.59673,0.0012344,0.0012344,0.0012344
60,1673.8,1.05601,0.72786,1.20749,0.84461,0.86111,0.91436,0.54013,1.48637,0.8077,1.69913,0.0012212,0.0012212,0.0012212
61,1701.5,1.0606,0.72444,1.19554,0.85299,0.81944,0.87271,0.53481,1.40751,0.84506,1.68227,0.001208,0.001208,0.001208
62,1729.73,1.04898,0.73988,1.19641,0.90307,0.875,0.92249,0.52761,1.42158,0.79524,1.68247,0.0011948,0.0011948,0.0011948
63,1757.23,1.03045,0.70699,1.16762,0.93196,0.76103,0.88448,0.5019,1.46217,0.92194,1.76767,0.0011816,0.0011816,0.0011816
64,1784.82,1.03088,0.69959,1.1667,0.86172,0.76389,0.83962,0.51235,1.41167,0.95655,1.71782,0.0011684,0.0011684,0.0011684
65,1812.33,1.03727,0.69388,1.17573,0.88324,0.68056,0.8513,0.51305,1.43045,0.92996,1.68198,0.0011552,0.0011552,0.0011552
