epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8823,1.99551,3.00432,1.87371,0,0,0,0,4.23718,inf,75.6331,0.000653333,0.000653333,0.000653333
2,94.74,2.13153,2.47844,1.99603,0,0,0,0,nan,nan,nan,0.00131477,0.00131477,0.00131477
3,136.661,2.15742,2.35988,1.97227,0,0,0,0,nan,nan,nan,0.00197093,0.00197093,0.00197093
4,178.641,2.13557,2.30596,1.95224,0.60649,0.04167,0.04953,0.02279,2.87645,9.1094,3.55799,0.00197624,0.00197624,0.00197624
5,224.584,2.03443,2.17433,1.87333,0.61971,0.09722,0.10533,0.04829,nan,nan,nan,0.00196832,0.00196832,0.00196832
6,266.397,1.97828,2.09097,1.83682,0.03505,0.22222,0.06026,0.01811,2.34283,21.8989,2.54079,0.0019604,0.0019604,0.0019604
7,308.374,1.97055,2.0645,1.83971,0.2924,0.22222,0.13526,0.04794,2.17058,10.1249,2.38279,0.00195248,0.00195248,0.00195248
8,356.052,1.93781,1.95869,1.7869,0.46613,0.26389,0.3038,0.15244,1.94117,3.39983,2.10673,0.00194456,0.00194456,0.00194456
9,398.312,1.89038,1.85788,1.744,0.53237,0.33333,0.38523,0.1591,1.98071,4.94008,2.05577,0.00193664,0.00193664,0.00193664
10,444.496,1.85497,1.84572,1.73274,0.63452,0.52778,0.62034,0.31314,1.73123,2.56847,1.93767,0.00192872,0.00192872,0.00192872
11,492.147,1.81748,1.74862,1.69632,0.43927,0.33333,0.36958,0.1802,1.88694,2.52242,2.03792,0.0019208,0.0019208,0.0019208
12,534.136,1.8153,1.74865,1.68293,0.43777,0.33333,0.34242,0.16949,1.91392,3.07052,2.01693,0.00191288,0.00191288,0.00191288
13,575.777,1.81492,1.73107,1.69406,0.43685,0.52778,0.49574,0.24946,1.69338,2.54635,1.81336,0.00190496,0.00190496,0.00190496
14,617.367,1.75023,1.62639,1.61121,0.54917,0.61111,0.64856,0.32079,1.52512,1.76962,1.7066,0.00189704,0.00189704,0.00189704
15,664.328,1.72602,1.6942,1.61832,0.61999,0.61182,0.6123,0.30778,1.65884,2.3396,1.84001,0.00188912,0.00188912,0.00188912
