epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7286,1.86956,2.9005,1.77941,0.02833,0.20833,0.01257,0.00529,2.45667,47.508,3.59975,0.000653333,0.000653333,0.000653333
2,78.0927,2.02185,2.18812,1.97763,0.00422,0.36111,0.00331,0.00095,3.69513,inf,21.8937,0.00131129,0.00131129,0.00131129
3,111.83,2.05305,2.18505,2.00622,0.01455,0.09722,0.00344,0.00157,4.23774,151.864,14.9259,0.00196044,0.00196044,0.00196044
4,146.134,2.01817,2.16445,1.97951,0.08539,0.02778,0.02026,0.01228,3.39425,6.66208,3.33618,0.0019604,0.0019604,0.0019604
5,180.059,1.96534,1.99061,1.91227,0.16948,0.18056,0.09729,0.03913,2.92385,11.4387,3.6316,0.0019472,0.0019472,0.0019472
6,214.601,1.84978,1.83937,1.83456,0.51016,0.30556,0.29878,0.13015,2.06473,4.18731,2.44264,0.001934,0.001934,0.001934
7,248.826,1.91453,1.93305,1.88317,0.36106,0.18056,0.16175,0.07423,2.31435,4.90551,2.70152,0.0019208,0.0019208,0.0019208
8,282.695,1.83897,1.79382,1.77822,0.46324,0.375,0.36624,0.18195,2.02879,2.57533,2.56576,0.0019076,0.0019076,0.0019076
9,316.909,1.8322,1.76387,1.7947,0.50725,0.375,0.41677,0.19036,1.93935,2.56507,2.3592,0.0018944,0.0018944,0.0018944
10,352.048,1.76724,1.70911,1.72962,0.69691,0.3833,0.45096,0.23783,1.82881,2.09788,2.21733,0.0018812,0.0018812,0.0018812
11,390.471,1.71712,1.62741,1.69294,0.85525,0.58333,0.68412,0.32334,1.78204,1.67713,2.15337,0.001868,0.001868,0.001868
12,424.89,1.70053,1.57286,1.65891,0.65914,0.45833,0.51075,0.25996,1.77038,1.82883,2.09152,0.0018548,0.0018548,0.0018548
13,458.323,1.70963,1.56768,1.7007,0.69202,0.54167,0.63153,0.33293,1.65781,1.95533,2.12686,0.0018416,0.0018416,0.0018416
14,492.426,1.66053,1.48324,1.62844,0.76133,0.66667,0.74825,0.4003,1.54311,1.51939,1.91848,0.0018284,0.0018284,0.0018284
15,526.436,1.62905,1.49847,1.63268,0.72721,0.56944,0.68752,0.3568,1.59304,1.52539,1.93199,0.0018152,0.0018152,0.0018152
16,560.019,1.61455,1.40418,1.59379,0.63055,0.5,0.55852,0.30447,1.55196,1.90008,1.94835,0.001802,0.001802,0.001802
17,593.577,1.6026,1.39039,1.63018,0.83719,0.73611,0.77477,0.4322,1.58279,1.33245,1.99032,0.0017888,0.0017888,0.0017888
18,627.915,1.63248,1.4785,1.63854,0.83488,0.61111,0.77915,0.39376,1.59449,1.74579,1.94544,0.0017756,0.0017756,0.0017756
19,661.451,1.62041,1.42768,1.62937,0.7149,0.66176,0.71327,0.38789,1.61203,1.38935,1.99154,0.0017624,0.0017624,0.0017624
20,695.124,1.57489,1.34631,1.56829,0.63242,0.6691,0.71437,0.38582,1.61985,1.55726,2.02966,0.0017492,0.0017492,0.0017492
21,729.03,1.56791,1.35271,1.56711,0.83355,0.59722,0.73519,0.41101,1.46456,1.45726,1.92639,0.001736,0.001736,0.001736
22,762.605,1.54249,1.31557,1.58541,0.71737,0.68056,0.79185,0.42917,1.56442,1.19919,1.9327,0.0017228,0.0017228,0.0017228
23,796.162,1.51185,1.26881,1.53428,0.85008,0.69444,0.80162,0.43191,1.60916,1.18101,1.9966,0.0017096,0.0017096,0.0017096
24,830.709,1.53171,1.28452,1.54999,0.86172,0.69245,0.82273,0.4778,1.46424,1.18676,1.9529,0.0016964,0.0016964,0.0016964
25,864.518,1.56416,1.26436,1.58907,0.82069,0.65278,0.7802,0.41639,1.55241,1.22904,1.93756,0.0016832,0.0016832,0.0016832
26,898.29,1.47974,1.21965,1.52591,0.70638,0.60149,0.69882,0.35353,1.71318,1.43514,2.01084,0.00167,0.00167,0.00167
27,932.997,1.49687,1.23634,1.53936,0.89327,0.72222,0.81314,0.44151,1.46013,1.19334,1.88587,0.0016568,0.0016568,0.0016568
28,966.867,1.51609,1.22305,1.58047,0.78186,0.59737,0.73035,0.40438,1.58738,1.31347,2.03382,0.0016436,0.0016436,0.0016436
29,1000.56,1.49102,1.22467,1.52775,0.77049,0.69444,0.76843,0.43008,1.50498,1.22925,1.84437,0.0016304,0.0016304,0.0016304
30,1034.6,1.4707,1.16886,1.50373,0.88989,0.55556,0.73479,0.42426,1.49482,1.43042,1.89242,0.0016172,0.0016172,0.0016172
31,1069.47,1.39017,1.15287,1.48524,0.73974,0.71059,0.79657,0.45561,1.52843,1.29793,1.96199,0.001604,0.001604,0.001604
32,1103.45,1.41656,1.12559,1.47843,0.63482,0.66667,0.69161,0.39868,1.60631,1.34508,2.02668,0.0015908,0.0015908,0.0015908
33,1137.5,1.39424,1.08259,1.46335,0.92489,0.68418,0.80041,0.41204,1.61124,1.21105,1.98858,0.0015776,0.0015776,0.0015776
34,1171.64,1.4449,1.13386,1.51927,0.76187,0.66654,0.75628,0.41271,1.54982,1.23597,1.99243,0.0015644,0.0015644,0.0015644
35,1205.6,1.38217,1.075,1.45747,0.91212,0.7208,0.82283,0.46803,1.50994,1.0017,1.94252,0.0015512,0.0015512,0.0015512
36,1239.79,1.40608,1.08756,1.458,0.7301,0.56944,0.64834,0.34903,1.71707,1.48194,2.0841,0.001538,0.001538,0.001538
37,1274.32,1.33194,1.05514,1.4002,0.86636,0.81944,0.89194,0.48238,1.51262,0.95005,1.95267,0.0015248,0.0015248,0.0015248
38,1308.63,1.34263,1.01799,1.43673,0.91583,0.75,0.87247,0.46936,1.49944,0.93266,1.89978,0.0015116,0.0015116,0.0015116
39,1342.46,1.34193,1.01397,1.45179,0.94339,0.69435,0.7907,0.46651,1.46562,1.09567,1.87829,0.0014984,0.0014984,0.0014984
40,1376.53,1.35483,1.06633,1.43621,0.8775,0.59694,0.75939,0.42523,1.5159,1.22751,1.93973,0.0014852,0.0014852,0.0014852
41,1410.69,1.34956,1.01445,1.42117,0.84862,0.79167,0.83921,0.48971,1.43441,1.01851,1.84447,0.001472,0.001472,0.001472
42,1444.76,1.30588,0.96189,1.4231,0.71244,0.68825,0.77764,0.43255,1.45415,1.08635,1.8544,0.0014588,0.0014588,0.0014588
43,1478.63,1.37187,0.99734,1.45162,0.83085,0.68056,0.81329,0.46059,1.52508,1.02584,1.94321,0.0014456,0.0014456,0.0014456
44,1513.39,1.33943,0.99022,1.42349,0.84731,0.69364,0.84988,0.46873,1.54923,1.01371,1.94549,0.0014324,0.0014324,0.0014324
45,1547.49,1.29553,0.94275,1.38121,0.77257,0.61337,0.71649,0.41517,1.48748,1.39696,1.89057,0.0014192,0.0014192,0.0014192
46,1582.38,1.30219,0.95967,1.40893,0.78635,0.61111,0.72643,0.38713,1.57687,1.6159,2.00902,0.001406,0.001406,0.001406
47,1616.45,1.28712,0.96215,1.38822,0.80557,0.69057,0.79523,0.42636,1.52185,1.16828,1.97486,0.0013928,0.0013928,0.0013928
48,1651.02,1.29631,0.95528,1.38154,0.93319,0.58198,0.75858,0.44348,1.54033,1.09479,2.00385,0.0013796,0.0013796,0.0013796
